Sample,Rotation,Block,crop,copies,weight soil,moisture,adj_copies,carbon,nitrogen,POM53,NH4,NO3
B18-108,C,1,1,7.169510368,1,0.179245283,8.735265506,8.7,0.8,0.5,0.04412146,1.058850352
B18-208,C,2,1,6.620218665,1,0.164280845,7.921583019,7.5,0.6,0.666666667,0.132574648,1.722860805
B18-311,C,3,1,6.898806802,1,0.13997006,8.02158911,6.7,0.6,0.5,0.070204897,0.957438021
B18-418,C,4,1,6.478296407,1,0.199612403,8.093949022,9.5,0.9,1.333333333,0.391093521,1.489682085
B15-112,C-1cov,1,2,7.00919078,1,0.20966421,8.868623774,10.2,0.9,1,0.044943696,0.780866889
B15-213,C-1cov,2,2,6.499321927,1,0.136205698,7.524154669,7.3,0.7,0.833333333,0.053532698,1.392989926
B15-301,C-1cov,3,2,7.190535888,1,0.186737805,8.841596143,11.1,1,0.666666667,0.08182467,1.471085957
B15-415,C-1cov,4,2,6.827845673,1,0.175067751,8.276856286,7.7,1.1,0.666666667,0.0406283,2.350758685
B12-109,CS,1,2,6.819961103,1,0.198478123,8.508764762,10.5,1.1,1.333333333,0.041899071,0.684097096
B12-202,CS,2,2,6.754256354,1,0.115212528,7.63376129,5.7,0.4,0.666666667,0.041100506,0.405473782
B12-313,CS,3,2,6.759512734,1,0.136224801,7.825546213,6.5,0.7,0.5,0.099510148,1.975895868
B12-412,CS,4,2,6.812076533,1,0.187571922,8.384836412,8.1,0.7,1.166666667,0.230140949,1.584136416
B9-119,CSW,1,3,6.772653683,1,0.188778186,8.348707546,8.2,0.8,0.833333333,0.061595804,1.935491469
B9-205,CSW,2,3,7.258868827,1,0.085043988,7.933571378,5.3,0.6,0.333333333,0.099809065,1.579875349
B9-314,CSW,3,3,6.843614812,1,0.135064935,7.912287395,7.3,0.7,0.333333333,0.076556512,0.990480574
B9-409,CSW,4,3,6.207592841,1,0.17987013,7.569036402,8.9,0.7,1.166666667,0.031189825,0.540622078
B6-107,CSW-1cov,1,4,7.201048648,1,0.180497925,8.787102401,11.5,1,1.666666667,0.088789406,1.014343161
B6-207,CSW-1cov,2,4,7.448098505,1,0.152872444,8.792180649,8.5,0.9,1.166666667,0.041054607,1.378530708
B6-317,CSW-1cov,3,4,7.516431444,1,0.138499588,8.724814681,9.4,0.9,0,0.069384056,1.573882565
B6-406,CSW-1cov,4,4,7.358740046,1,0.157950907,8.739086721,9.2,0.9,1.666666667,0.040521892,0.40517405
B3-111,CSW-2cov,1,5,7.419188415,1,0.125,8.479072474,11.6,1,1.166666667,0.146254042,1.073506353
B3-203,CSW-2cov,2,5,7.626815422,1,0.103423161,8.506594293,7.5,,0.666666667,0.038499444,1.494252352
B3-306,CSW-2cov,3,5,7.682007411,1,0.122873346,8.758150691,8.4,0.8,0.833333333,0.08916352,1.768107787
B3-407,CSW-2cov,4,5,6.977652501,1,0.140964995,8.122663759,8.3,0.9,1.5,0.087577151,0.617992937
B2-102,fallow,1,10,6.139259902,1,0.178747941,7.475487985,11.9,1,1.833333333,0.03572624,1.91745083
B2-206,fallow,2,10,6.349515099,1,0.143800813,7.415932175,7.4,0.7,1,0.082474798,1.245006681
B2-316,fallow,3,10,6.094580672,1,0.134218289,7.039396415,6.4,0.6,0.833333333,0.03657586,1.275456263
B2-402,fallow,4,10,6.657013325,1,0.170447181,8.024821532,9.2,0.8,1.333333333,0.124676926,1.565504495
